#melhor.pose.x;melhor.pose.y;melhor.pose.z;melhor.ypr.x;melhor.ypr.y;melhor.ypr.z;pior.pose.x;pior.pose.y;pior.pose.z;pior.ypr.x;pior.ypr.y;pior.ypr.z;media.pose.x;media.pose.y;media.pose.z;media.ypr.x;media.ypr.y;media.ypr.z;
5.6822;-5.21968;-28.4838;0.0102433;-0.0120456;-0.00172443;-129.491;137.976;-53.4092;0.00142559;-0.00548687;-0.0053647;-2.07801;7.3722;-29.5244;-0.00093431;-0.00140568;8.17427e-05;
5.61037;-5.33194;-28.502;0.0211097;-0.00535121;-0.00313787;-123.207;-4.43251;-10.6183;0.00299905;0.0111195;-0.00969264;0.299874;-0.841413;-29.1019;0.000782541;-0.00220677;0.000823693;
5.53651;-5.36659;-28.7534;-0.000402484;-0.0134897;-0.0026615;20.4073;96.2896;-6.00177;-0.0133174;-0.00214826;0.0278978;0.844938;-3.32484;-29.3449;0.000317029;-0.00293456;0.00276732;
5.62521;-5.3643;-28.9407;0.00279916;-0.0325347;-0.0041204;-33.7901;-1.62554;-37.1879;-0.0160863;-0.025433;0.0116471;1.37565;-3.83087;-29.8833;0.00208483;-0.00509802;0.00307829;
6.16194;-5.30344;-29.0339;-0.000801661;-0.0302523;-0.00130987;-7.49613;77.7714;-45.9942;-0.0092137;0.0185865;0.0378812;1.71179;-3.61412;-29.7349;0.00251108;-0.00457081;0.00284113;
6.72017;-5.12885;-29.0615;0.0146525;0.00505614;-0.00916467;21.1877;24.97;-29.8942;-0.00150721;-0.0156205;-0.00740512;2.68422;-3.31195;-29.1221;0.00195586;-0.00499362;0.00403174;
7.26448;-5.16971;-29.1943;0.0255225;-0.0169186;-0.00251419;20.8001;-23.077;-33.6938;0.0241362;-0.00143061;-0.025289;2.76995;-3.65597;-28.3149;0.00252063;-0.00575522;0.00322376;
7.85374;-5.22862;-29.2918;0.0315702;-0.0211919;0.00453326;28.4018;17.9818;-47.5045;0.00998791;-0.0144986;-0.017646;3.23839;-3.54114;-29.1873;0.00420006;-0.00458892;0.00367236;
8.43765;-5.22355;-29.4121;0.0228732;0.00740212;0.00674719;6.63296;-30.3998;-38.0166;0.0215115;0.00247184;-0.00430479;3.65036;-3.4427;-29.1847;0.00484281;-0.00542608;0.00241571;
8.96213;-5.46311;-29.5872;-0.00316559;-0.0532952;0.0286244;-23.1631;-7.56574;-56.2177;-0.00869196;0.00208002;-0.0395805;3.69327;-3.55528;-29.3487;0.00487043;-0.00512845;0.00299088;
9.53007;-5.3891;-29.6347;0.00859012;-0.0660525;0.0376716;-22.5086;-7.71296;-56.3146;-0.00453614;0.00310637;-0.0406863;4.38396;-3.69368;-29.2483;0.00389354;-0.00436598;0.00451071;
10.175;-5.24236;-30.1395;-0.0145614;0.00440473;-0.0127559;-21.9462;-7.78242;-56.3553;0.00184813;0.00926622;-0.0458085;4.8749;-3.72485;-29.3013;0.00390069;-0.00520496;0.00651649;
10.7927;-5.5272;-29.5841;-0.0137059;-0.0441579;0.0185819;-21.4216;-7.77843;-56.4985;0.00704518;0.013231;-0.047861;5.38924;-3.63396;-29.3346;0.00152205;-0.00557624;0.00532277;
11.2492;-5.17829;-30.2266;-0.0141512;-0.00804752;-0.0151414;-13.4229;-8.2195;-41.8269;-0.0131581;0.00740585;0.0146895;6.25583;-3.64356;-28.9;0.00109924;-0.00477215;0.00487068;
11.8312;-5.24115;-30.3009;-0.0172089;-0.0127892;-0.0214609;-12.9503;-8.27603;-42.019;-0.0239837;0.0129047;0.00959772;6.93598;-3.75888;-28.3349;0.000924167;-0.00457722;0.00709959;
12.4269;-5.23266;-30.3549;-0.00862596;-0.0289661;-0.0249385;-12.2024;-8.2148;-41.9605;-0.0257946;0.0104837;0.0100824;7.35017;-3.69148;-29.1243;0.000508664;-0.00522895;0.00435502;
13.027;-5.21058;-30.3486;-0.021239;-0.00726476;-0.0106895;-11.6492;-8.25694;-42.061;-0.0240472;0.0066717;0.019538;8.1739;-3.76119;-28.8264;0.00190979;-0.00384589;0.00489015;
13.6288;-5.15401;-30.445;-0.0138181;-0.00542389;-0.0195085;20.5829;10.3268;-39.1116;0.0130985;-0.0573711;-0.0244913;8.30739;-3.77651;-29.637;0.0039191;-0.00445325;0.00455236;
14.1886;-5.08531;-30.5907;-0.0129499;-0.00471081;-0.0201675;-2.65213;-19.6345;-9.51294;0.0237317;0.0277696;-0.00736855;8.72799;-3.82822;-29.4475;0.00369079;-0.00351415;0.00492444;
14.723;-5.18354;-30.958;-0.000413663;0.00378801;-0.0416124;-1.87472;-19.6658;-9.72628;0.0196298;0.0236639;-0.018161;9.4004;-3.70802;-29.6319;0.00240837;-0.00407108;0.0060806;
15.4255;-4.7316;-30.6007;-0.0403373;0.0366146;-0.000114126;-1.26922;-19.7098;-9.93407;0.0158208;0.0308768;-0.0474316;10.2637;-3.72999;-30.1869;0.00265367;-0.00411178;-0.0283569;
15.9244;-4.86085;-30.6599;-0.0356993;0.0348406;-0.0958543;22.6484;-8.80132;-35.878;0.0352545;-0.00706155;-0.131164;10.8933;-3.8332;-30.8367;0.00259302;-0.0051251;-0.128293;
16.5638;-4.85618;-30.7937;-0.044584;0.0208768;-0.228071;23.2834;-8.52526;-36.238;0.00699086;-0.00932258;-0.261273;11.5494;-3.86023;-30.9921;0.00248009;-0.00519126;-0.273185;
17.2639;-5.06768;-31.2046;-0.0560741;0.0206581;-0.477174;23.8063;-8.81426;-36.3503;0.00518558;-0.0204268;-0.492663;12.0955;-4.36035;-31.0158;0.00317671;-0.00447977;-0.512898;
17.7302;-5.38137;-31.258;-0.0616142;0.0107623;-0.721729;24.2263;-9.14496;-36.3791;-0.00359204;0.00768832;-0.780007;12.4356;-4.86972;-31.3563;0.00186767;-0.00374913;-0.762956;
17.8446;-6.46232;-30.925;-0.0238524;0.00358815;-1.02854;24.4687;-9.7995;-36.5424;-0.0018269;0.0109583;-1.05159;12.7927;-5.49111;-31.1781;0.00139298;-0.00488786;-1.04679;
17.9345;-7.09141;-31.4555;-0.0353558;0.0185738;-1.35734;24.4806;-10.3312;-36.6228;0.00204957;0.0172191;-1.37287;13.1378;-6.27909;-30.5261;0.00146972;-0.00449417;-1.37638;
17.8317;-7.72275;-31.6105;-0.0169612;0.0159808;-1.63908;24.541;-10.7047;-36.5473;-0.0104078;-0.0120636;-1.67399;13.1936;-6.98058;-30.1017;0.00269016;-0.00513946;-1.6753;
17.6756;-8.06751;-32.3143;0.0516778;-0.00792009;-1.97917;24.167;-11.3915;-36.5409;0.0275687;-0.00614022;-2.03893;13.1913;-7.61396;-29.5465;0.00424896;-0.00621468;-2.00558;
17.2263;-8.45439;-32.3949;0.0449937;-0.0247357;-2.32981;23.7157;-11.8943;-36.4244;0.01691;-0.0156421;-2.38324;12.7032;-8.07848;-30.4026;0.00449429;-0.00661382;-2.35639;
16.6877;-8.71299;-32.4629;0.0366189;-0.0281591;-2.68205;22.8684;-12.0673;-36.9059;-0.0142874;0.00401811;-2.71718;12.2562;-8.33733;-29.8784;0.00556834;-0.00525125;-2.70571;
15.9842;-8.91596;-32.4371;0.0549136;-0.0278708;-3.02038;22.2142;-12.1509;-36.9674;-0.00947759;0.00792701;-3.07137;11.5659;-8.55233;-30.07;0.0058323;-0.0053197;-3.05634;
15.403;-8.42346;-32.5323;0.0552317;-0.0381306;2.90013;21.6408;-12.1514;-37.0718;-0.00275187;0.00246621;2.85211;10.9636;-8.55207;-30.7035;0.00682311;-0.00613422;2.87607;
14.7942;-8.44631;-32.6865;0.0778815;-0.0295194;2.60362;21.1609;-11.8144;-37.116;-0.011879;-0.00137366;2.56576;10.7184;-8.25731;-31.4074;0.00976464;-0.00738329;2.58672;
14.3223;-7.84744;-32.608;0.0692478;-0.0347586;2.51357;20.3643;-0.842068;-53.7355;0.00489531;-0.00276413;2.46449;10.5184;-7.99262;-31.7666;0.0105709;-0.00669795;2.46979;
